Code	Stage	Slot	Name	Name (Alternate)	Description 	Strength	Speed	Stamina	Regular Tech	Special Tech	Strength	Speed	Stamina	Intelligence	Willpower	Tactics	Power	Control	Reserves
999	1	1	Body Switch Technique	Kawarimi no Jutsu	A common jutsu - used to quickly replace a body with a close by object. Creates confusing among the opponent(s) - creating a chance to escape, or return with a larger strike. Useful for avoiding attacks and hiding from potential enemies. This is a super-speed jutsu, not a teleportation one. Kawarimi may be used twice per thread.														
999	1	2	Transformation Technique	Henge no Jutsu	Using this technique, a shinobi is able to alter their appearance to look like another person. This jutsu creates a kind of chakra shell around the user, which warps light to create a semi-solid illusion. Henge allows a shinobi solely to appear like other people and mimic their voice, but nothing else. The chakra shell holding the illusion together is fragile and immediately dissipates if the user enters combat. Stage Two: The user can appear as objects, but only of similar size (ex: a crouching character appearing as a barrel). Stage Three: The chakra shell is more durable and does not break from taijutsu attacks. Ninjutsu still dissipates the henge.														
999	1	3	Magic Cloak Of Invisibility Technique	Kakuremino no Jutsu	The user can use their chakra to change the color and texture of any fabric they're wearing or touching. If caught in the forest, they might shift to hues of green to brown to blend in to the foliage around them, and in a city they might alter their clothes to better fit in among the populace. It's not foolproof, as only the user's clothing changes, but it gives the shinobi another edge to work with. 														
999	1	4	Unlocking Technique	Anrokku no Jutsu	The user directs chakra toward a target no further than one meter away that they can see or feel and infuses the object with their will, allowing them to manipulate it in subtle ways. A lock could be made to open, a knot be made to untie, a candle could be snuffed. The object is only gently influenced; a rope for example could be made to form a noose, but not to strangle and while a lock could be made to unlatch it could not be broken. Special: This jutsu may be used without handseals, but only escape from rope, handcuffs, or similar non-ninjutsu binds.														
999	1	5	Element Hand	Yoso no Te	The user performs seals, then concentrates chakra near his shoulder, pooling it together before having it swirl out from his body. The chakra flows into an arm-like shape, complete with a fully functional hand at the far end. This chakra arm can instead be composed of any element the user knows how to control fire if he knows katon, water if he knows suiton, and so on. But, if the user knows no true elemental techniques, the hand is simply hardened chakra, looking akin to colored flame. The arm only has 1/4th the Strength of the user and cannot perform handseals, but is capable of holding items and weapons. Stage Two: The user can create a pair of arms. Stage Three: The user can create three arms: one pair and an additional limb. Stage Four: The user can create two pairs of arms. 														
999	1	6	Open Slot																
999	2	1	Tree Walking / Wall Walking Technique	Kinobori/Kabenobori no Jutsu	By focusing chakra into the feet and keeping it balanced, the user can walk up against vertical objects and cling to its surface. This technique is passive and does not require any jutsu usages. Stage Three: The user may walk across water or other liquids as though they were solid surfaces.														
999	2	2	Chakra Hair Rope	Chakra Kami Nawa	Charging chakra through a lock of hair or a piece of string or wire, the user uses it as a medium through with to activate Kami Nawa. Should the wire come into contact with the skin of anyone apart from the user, the charged strand will wrap around the limb and the chakra will suffuse it through it, rendering the limb immobile until it runs out of juice. This effect lasts for one post, plus an additional post per rank the user has over the target. Stage Three: Base duration of two posts, plus an additional post per rank over.														
999	2	3	Chakra Light Technique	Chakra Hikari no Jutsu	This jutsu allows the user to make a ball of chakra that produces light enough to guide the shinobi's path. It's useful for when going in dark areas and good for letting your comrades know where you are if you get lost in a foggy place. The user can also cause the ball of chakra to flare brightly like a flash bomb to temporarily blind enemies.														
999	2	4	Sound Masking Technique	Kyou Masukingu no Jutsu	This ninjutsu helps to cover up any sounds the user makes if they are on a mission that requires stealth. Focusing chakra in a way much like walking on water, the ninja can move using this chakra as a sort of cushion, allowing them to move without rustling over leaves or stepping on twigs. Sound Masking can be applied to any and all parts of the body as necessary.														
